timestamp,NO level  (µg/m³),PM₁₀ level  (µg/m³),NO₂ level  (µg/m³),NOx level  (µg/m³),StationName,PostCodes
01-02-2020 00:00,2.49728,8.7,10.92603,14.75513,BUR1,M26 4DF
01-02-2020 01:00,2.39036,17.4,9.43068,13.09585,BUR1,M26 4DF
01-02-2020 02:00,0.95213,26.1,6.17366,7.63357,BUR1,M26 4DF
01-02-2020 03:00,0.28319,29,3.31961,3.75382,BUR1,M26 4DF
01-02-2020 04:00,0.45042,33.8,2.55269,3.24333,BUR1,M26 4DF
01-02-2020 05:00,0.21629,30.9,1.83966,2.1713,BUR1,M26 4DF
01-02-2020 06:00,0.45042,25.1,3.06319,3.75382,BUR1,M26 4DF
01-02-2020 07:00,0.65111,21.3,7.09467,8.09302,BUR1,M26 4DF
01-02-2020 08:00,0.91868,17.4,9.33895,10.74758,BUR1,M26 4DF
01-02-2020 09:00,1.18626,10.6,7.85664,9.67554,BUR1,M26 4DF
01-02-2020 10:00,1.68797,11.6,7.39366,9.98184,BUR1,M26 4DF
01-02-2020 11:00,2.55759,27.1,7.64278,11.56437,BUR1,M26 4DF
01-02-2020 12:00,2.15623,21.3,7.9519,11.25807,BUR1,M26 4DF
01-02-2020 13:00,1.8552,16.4,7.39248,10.23709,BUR1,M26 4DF
01-02-2020 14:00,2.25657,16.4,6.21552,9.67554,BUR1,M26 4DF
01-02-2020 15:00,1.88865,14.5,7.74959,10.64548,BUR1,M26 4DF
01-02-2020 16:00,1.8552,5.8,8.56661,11.41122,BUR1,M26 4DF
01-02-2020 17:00,2.39036,14.5,9.89013,13.55529,BUR1,M26 4DF
01-02-2020 18:00,3.22654,15.5,15.09126,20.03855,BUR1,M26 4DF
01-02-2020 19:00,3.72825,18.4,15.44507,21.16164,BUR1,M26 4DF
01-02-2020 20:00,3.6948,13.5,17.89567,23.56095,BUR1,M26 4DF
01-02-2020 21:00,4.22995,14.5,20.18912,26.67496,BUR1,M26 4DF
01-02-2020 22:00,5.26682,14.5,23.14268,31.21835,BUR1,M26 4DF
01-02-2020 23:00,1.32005,14.5,17.60611,19.63016,BUR1,M26 4DF
02-02-2020 00:00,5.82427,17.4,25.40193,34.33235,BUR1,M26 4DF
02-02-2020 01:00,10.10606,19.3,44.08184,59.57758,BUR1,M26 4DF
02-02-2020 02:00,14.56986,20.3,42.75514,65.09528,BUR1,M26 4DF
02-02-2020 03:00,1.58019,8.7,24.49121,26.91413,BUR1,M26 4DF
02-02-2020 04:00,4.55978,10.6,18.59424,25.5858,BUR1,M26 4DF
02-02-2020 05:00,4.55978,12.6,20.17802,27.16958,BUR1,M26 4DF
02-02-2020 06:00,0.27452,8.7,5.44418,5.86512,BUR1,M26 4DF
02-02-2020 07:00,1.37932,3.9,7.93956,10.05448,BUR1,M26 4DF
02-02-2020 08:00,5.59761,7.7,15.26586,23.84874,BUR1,M26 4DF
02-02-2020 09:00,9.34721,7.7,25.35441,39.6866,BUR1,M26 4DF
02-02-2020 10:00,7.57285,5.8,31.70244,43.31398,BUR1,M26 4DF
02-02-2020 11:00,8.64416,6.8,31.64357,44.89776,BUR1,M26 4DF
02-02-2020 12:00,5.49718,9.7,22.47026,30.89914,BUR1,M26 4DF
02-02-2020 13:00,7.53937,8.7,24.6012,36.1614,BUR1,M26 4DF
02-02-2020 14:00,5.83196,10.6,23.84725,32.78946,BUR1,M26 4DF
02-02-2020 15:00,2.14932,14.5,10.53955,13.83513,BUR1,M26 4DF
02-02-2020 16:00,2.01541,23.2,9.36546,12.45571,BUR1,M26 4DF
02-02-2020 17:00,3.25411,16.4,13.64801,18.63758,BUR1,M26 4DF
02-02-2020 18:00,3.65586,20.3,24.01633,29.62189,BUR1,M26 4DF
02-02-2020 19:00,5.83196,11.6,24.66469,33.6069,BUR1,M26 4DF
02-02-2020 20:00,1.44627,26.1,11.66863,13.88622,BUR1,M26 4DF
02-02-2020 21:00,2.51759,21.3,21.92991,25.79016,BUR1,M26 4DF
02-02-2020 22:00,1.91497,23.2,15.24152,18.17777,BUR1,M26 4DF
02-02-2020 23:00,1.21192,21.3,12.58995,14.44821,BUR1,M26 4DF
03-02-2020 00:00,1.04453,22.2,12.59117,14.19276,BUR1,M26 4DF
03-02-2020 01:00,0.36637,18.4,5.08303,5.6448,BUR1,M26 4DF
03-02-2020 02:00,0.0983,13.5,1.2673,1.41802,BUR1,M26 4DF
03-02-2020 03:00,0.19883,10.6,1.18133,1.48619,BUR1,M26 4DF
03-02-2020 04:00,0.19883,14.5,1.84602,2.15089,BUR1,M26 4DF
03-02-2020 05:00,0.29936,16.4,3.0724,3.53141,BUR1,M26 4DF
03-02-2020 06:00,1.00306,13.5,5.06122,6.59923,BUR1,M26 4DF
03-02-2020 07:00,1.17061,14.5,8.74136,10.53627,BUR1,M26 4DF
03-02-2020 08:00,3.38227,18.4,14.65594,19.84201,BUR1,M26 4DF
03-02-2020 09:00,2.30995,20.3,18.90778,22.44966,BUR1,M26 4DF
03-02-2020 10:00,3.38227,20.3,19.51333,24.69939,BUR1,M26 4DF
03-02-2020 11:00,3.98544,29,14.65142,20.76235,BUR1,M26 4DF
03-02-2020 12:00,6.66624,27.1,14.47797,24.69939,BUR1,M26 4DF
03-02-2020 13:00,4.82319,26.1,12.39542,19.79088,BUR1,M26 4DF
03-02-2020 14:00,5.42637,18.4,15.10082,23.42113,BUR1,M26 4DF
03-02-2020 15:00,6.5322,33.8,16.62646,26.64235,BUR1,M26 4DF
03-02-2020 16:00,7.97312,26.1,22.59793,34.82321,BUR1,M26 4DF
03-02-2020 17:00,6.93432,27.1,21.17405,31.80652,BUR1,M26 4DF
03-02-2020 18:00,5.79498,27.1,22.25631,31.14183,BUR1,M26 4DF
03-02-2020 19:00,5.22531,13.5,22.72075,30.73278,BUR1,M26 4DF
03-02-2020 20:00,3.18121,10.6,17.26509,22.14287,BUR1,M26 4DF
03-02-2020 21:00,4.01895,13.5,15.8783,22.04061,BUR1,M26 4DF
03-02-2020 22:00,2.04187,11.6,10.42214,13.55297,BUR1,M26 4DF
03-02-2020 23:00,1.63975,14.5,5.77229,8.28653,BUR1,M26 4DF
04-02-2020 00:00,1.00306,20.3,5.36801,6.90601,BUR1,M26 4DF
04-02-2020 01:00,0.76027,15.5,3.74668,4.91241,BUR1,M26 4DF
04-02-2020 02:00,0.52548,11.6,2.74213,3.54785,BUR1,M26 4DF
04-02-2020 03:00,0.32423,15.5,1.41323,1.91038,BUR1,M26 4DF
04-02-2020 04:00,0.55902,16.4,1.56494,2.42209,BUR1,M26 4DF
04-02-2020 05:00,0.29069,16.4,1.36232,1.80804,BUR1,M26 4DF
04-02-2020 06:00,1.19631,18.4,2.37877,4.21308,BUR1,M26 4DF
04-02-2020 07:00,3.77898,15.5,5.73616,11.53052,BUR1,M26 4DF
04-02-2020 08:00,6.02625,23.2,12.93397,22.17408,BUR1,M26 4DF
04-02-2020 09:00,11.29223,22.2,22.82058,40.13509,BUR1,M26 4DF
04-02-2020 10:00,7.90456,9.7,20.44163,32.56179,BUR1,M26 4DF
04-02-2020 11:00,8.10581,21.3,23.61268,36.04141,BUR1,M26 4DF
04-02-2020 12:00,12.03013,31.9,23.48012,41.92607,BUR1,M26 4DF
04-02-2020 13:00,12.13076,16.4,23.99106,42.59129,BUR1,M26 4DF
04-02-2020 14:00,12.80158,16.4,18.76646,38.39527,BUR1,M26 4DF
04-02-2020 15:00,13.94198,17.4,15.8921,37.26951,BUR1,M26 4DF
04-02-2020 16:00,17.86631,21.3,22.92348,50.31811,BUR1,M26 4DF
04-02-2020 17:00,29.06909,19.3,33.68546,78.25745,BUR1,M26 4DF
04-02-2020 18:00,20.08003,18.4,33.65233,64.44129,BUR1,M26 4DF
04-02-2020 19:00,41.27811,23.2,57.28361,120.57583,BUR1,M26 4DF
04-02-2020 20:00,20.48253,22.2,49.2052,80.61131,BUR1,M26 4DF
04-02-2020 21:00,15.61905,18.4,41.20881,65.15768,BUR1,M26 4DF
04-02-2020 22:00,3.07462,16.4,27.69393,32.40827,BUR1,M26 4DF
04-02-2020 23:00,14.78052,17.4,33.5908,56.25394,BUR1,M26 4DF
05-02-2020 00:00,13.06991,20.3,40.71673,60.75698,BUR1,M26 4DF
05-02-2020 01:00,2.31875,20.3,23.3614,26.91677,BUR1,M26 4DF
05-02-2020 02:00,7.19797,24.2,33.29195,44.32868,BUR1,M26 4DF
05-02-2020 03:00,4.21001,22.2,33.00834,39.46359,BUR1,M26 4DF
05-02-2020 04:00,6.7951,18.4,32.16849,42.58749,BUR1,M26 4DF
05-02-2020 05:00,8.54088,19.3,35.58583,48.68166,BUR1,M26 4DF
05-02-2020 06:00,37.88335,25.1,42.06224,100.14923,BUR1,M26 4DF
05-02-2020 07:00,76.59258,25.1,48.9766,166.41692,BUR1,M26 4DF
05-02-2020 08:00,129.16731,19.3,66.99651,265.05028,BUR1,M26 4DF
05-02-2020 09:00,83.64283,9.7,69.30296,197.55352,BUR1,M26 4DF
05-02-2020 10:00,47.04867,9.7,60.57946,132.71975,BUR1,M26 4DF
05-02-2020 11:00,68.233,11.6,66.35227,170.97474,BUR1,M26 4DF
05-02-2020 12:00,37.31261,19.3,52.97481,110.18668,BUR1,M26 4DF
05-02-2020 13:00,24.01785,30,55.12852,91.95539,BUR1,M26 4DF
05-02-2020 14:00,39.49483,37.7,61.76591,122.32381,BUR1,M26 4DF
05-02-2020 15:00,8.44016,28,31.8994,44.8408,BUR1,M26 4DF
05-02-2020 16:00,5.45219,34.8,27.16039,35.5203,BUR1,M26 4DF
05-02-2020 17:00,8.5073,30.9,43.62631,56.67066,BUR1,M26 4DF
05-02-2020 18:00,31.33669,27.1,65.26167,113.31058,BUR1,M26 4DF
05-02-2020 19:00,124.23213,44.4,92.38528,282.87189,BUR1,M26 4DF
05-02-2020 20:00,148.33727,44.4,86.81723,314.26454,BUR1,M26 4DF
05-02-2020 21:00,149.00872,49.3,77.44021,305.91707,BUR1,M26 4DF
05-02-2020 22:00,167.0708,50.2,69.56428,325.73592,BUR1,M26 4DF
05-02-2020 23:00,177.27687,47.3,68.30561,340.12636,BUR1,M26 4DF
06-02-2020 00:00,140.68271,44.4,58.45545,274.16593,BUR1,M26 4DF
06-02-2020 01:00,127.67721,53.1,60.86033,256.62932,BUR1,M26 4DF
06-02-2020 02:00,78.97384,42.5,52.57778,173.66932,BUR1,M26 4DF
06-02-2020 03:00,84.5521,43.5,53.7283,183.37304,BUR1,M26 4DF
06-02-2020 04:00,98.0273,41.5,56.64256,206.94899,BUR1,M26 4DF
06-02-2020 05:00,92.71787,40.6,49.97173,192.13715,BUR1,M26 4DF
06-02-2020 06:00,102.295,37.7,49.48381,206.33397,BUR1,M26 4DF
06-02-2020 07:00,119.60106,36.7,52.52068,235.90641,BUR1,M26 4DF
06-02-2020 08:00,178.03838,39.6,54.09544,327.08382,BUR1,M26 4DF
06-02-2020 09:00,304.62459,53.1,78.69185,545.77637,BUR1,M26 4DF
06-02-2020 10:00,164.36156,38.6,68.1985,320.21605,BUR1,M26 4DF
06-02-2020 11:00,61.46617,37.7,59.91256,154.15937,BUR1,M26 4DF
06-02-2020 12:00,73.42918,35.7,64.32544,176.91528,BUR1,M26 4DF
06-02-2020 13:00,75.61344,45.4,68.04907,183.98807,BUR1,M26 4DF
06-02-2020 14:00,94.26365,53.1,84.29804,228.83362,BUR1,M26 4DF
06-02-2020 15:00,67.14524,54.1,80.87972,183.83431,BUR1,M26 4DF
06-02-2020 16:00,64.82656,56,75.3121,174.71144,BUR1,M26 4DF
06-02-2020 17:00,35.65831,40.6,76.62564,131.30095,BUR1,M26 4DF
06-02-2020 18:00,222.66447,50.2,109.54596,450.96006,BUR1,M26 4DF
06-02-2020 19:00,224.41188,54.1,113.73442,457.82783,BUR1,M26 4DF
06-02-2020 20:00,168.83089,49.3,87.94544,346.81587,BUR1,M26 4DF
06-02-2020 21:00,162.58055,53.1,79.89846,329.18516,BUR1,M26 4DF
06-02-2020 22:00,140.87238,54.1,75.76985,291.77115,BUR1,M26 4DF
06-02-2020 23:00,127.5988,48.3,66.44744,262.09621,BUR1,M26 4DF
07-02-2020 00:00,119.097,51.2,53.85733,236.47018,BUR1,M26 4DF
07-02-2020 01:00,95.22839,37.7,49.00654,195.02136,BUR1,M26 4DF
07-02-2020 02:00,62.42272,34.8,41.34721,137.06071,BUR1,M26 4DF
07-02-2020 03:00,51.96212,30.9,43.53756,123.2117,BUR1,M26 4DF
07-02-2020 04:00,69.99067,30.9,41.48919,148.80671,BUR1,M26 4DF
07-02-2020 05:00,74.83416,42.5,40.3716,155.11571,BUR1,M26 4DF
07-02-2020 06:00,75.67504,28,46.93003,162.96348,BUR1,M26 4DF
07-02-2020 07:00,128.65071,41.5,56.33586,253.59753,BUR1,M26 4DF
07-02-2020 08:00,213.14269,42.5,90.25285,417.06709,BUR1,M26 4DF
07-02-2020 09:00,216.64077,48.3,108.79157,440.96945,BUR1,M26 4DF
07-02-2020 10:00,136.01685,38.6,91.97401,300.53027,BUR1,M26 4DF
07-02-2020 11:00,14.99688,30.9,37.38335,60.37825,BUR1,M26 4DF
07-02-2020 12:00,32.68907,null,49.69972,99.82227,BUR1,M26 4DF
