timestamp,NOx level  (µg/m³),NO₂ level  (µg/m³),PM₁₀ level  (µg/m³),NO level  (µg/m³),StationName,PostCodes
01-02-2020 00:00,20.59867,13.50513,5.797,4.62628,BURW,M45 8GW
01-02-2020 01:00,10.91476,7.82055,13.527,2.01799,BURW,M45 8GW
01-02-2020 02:00,13.91472,9.9825,26.087,2.56453,BURW,M45 8GW
01-02-2020 03:00,11.58496,9.16762,26.087,1.57655,BURW,M45 8GW
01-02-2020 04:00,7.37225,5.09994,27.054,1.48196,BURW,M45 8GW
01-02-2020 05:00,5.69674,3.56947,27.054,1.38737,BURW,M45 8GW
01-02-2020 06:00,5.60099,3.42538,23.189,1.4189,BURW,M45 8GW
01-02-2020 07:00,11.15412,7.4314,18.358,2.42789,BURW,M45 8GW
01-02-2020 08:00,23.31354,13.98258,20.29,6.08549,BURW,M45 8GW
01-02-2020 09:00,20.48911,12.07674,12.561,5.4864,BURW,M45 8GW
01-02-2020 10:00,20.05826,11.5492,10.628,5.54947,BURW,M45 8GW
01-02-2020 11:00,17.18596,7.95169,18.358,6.02243,BURW,M45 8GW
01-02-2020 12:00,20.05826,9.85705,20.29,6.65305,BURW,M45 8GW
01-02-2020 13:00,21.49441,10.76139,17.392,6.9999,BURW,M45 8GW
01-02-2020 14:00,20.01039,10.38935,18.358,6.27468,BURW,M45 8GW
01-02-2020 15:00,23.31354,12.82225,14.493,6.84224,BURW,M45 8GW
01-02-2020 16:00,26.71243,15.25421,8.696,7.47286,BURW,M45 8GW
01-02-2020 17:00,22.93057,11.81077,9.662,7.25214,BURW,M45 8GW
01-02-2020 18:00,21.11144,12.69907,12.561,5.4864,BURW,M45 8GW
01-02-2020 19:00,17.23383,10.46526,13.527,4.41435,BURW,M45 8GW
01-02-2020 20:00,23.5529,13.83516,17.392,6.33774,BURW,M45 8GW
01-02-2020 21:00,23.79226,15.81501,13.527,5.20262,BURW,M45 8GW
01-02-2020 22:00,17.09021,12.11048,15.459,3.2477,BURW,M45 8GW
