timestamp,NO level  (µg/m³),NOx level  (µg/m³),NO₂ level  (µg/m³),PM₁₀ level  (µg/m³),StationName,PostCodes
01-02-2020 00:00,0.52224,9.26058,8.45984,6.35,ECCL,M30 0DF
01-02-2020 01:00,0.39223,5.38481,4.7834,13.2,ECCL,M30 0DF
01-02-2020 02:00,0.43581,5.18538,4.51714,19.375,ECCL,M30 0DF
01-02-2020 03:00,0.26149,5.88341,5.48246,22.85,ECCL,M30 0DF
01-02-2020 04:00,0.29417,12.56456,12.1135,27.25,ECCL,M30 0DF
01-02-2020 05:00,0.19612,9.37356,9.07285,24.275,ECCL,M30 0DF
01-02-2020 06:00,0.2288,11.21836,10.86753,23.325,ECCL,M30 0DF
01-02-2020 07:00,0.26149,20.94093,20.53999,22.575,ECCL,M30 0DF
01-02-2020 08:00,0.39223,17.65022,17.0488,19.025,ECCL,M30 0DF
01-02-2020 09:00,0.65372,13.36231,12.35995,16.375,ECCL,M30 0DF
01-02-2020 10:00,1.07864,14.55894,12.90505,15.325,ECCL,M30 0DF
01-02-2020 11:00,0.78446,9.37356,8.17073,13.075,ECCL,M30 0DF
01-02-2020 12:00,0.75178,8.42623,7.27352,12.575,ECCL,M30 0DF
01-02-2020 13:00,1.14401,11.01892,9.2648,13.75,ECCL,M30 0DF
01-02-2020 14:00,1.1767,14.55894,12.75469,14.4,ECCL,M30 0DF
01-02-2020 15:00,0.78446,10.47047,9.26764,12.475,ECCL,M30 0DF
01-02-2020 16:00,0.84984,12.41498,11.11192,7.5,ECCL,M30 0DF
01-02-2020 17:00,0.75178,13.71133,12.55862,7.25,ECCL,M30 0DF
01-02-2020 18:00,0.39223,12.36512,11.76371,11.5,ECCL,M30 0DF
01-02-2020 19:00,0.35955,12.06597,11.51467,14.25,ECCL,M30 0DF
01-02-2020 20:00,0.32686,12.86372,12.36254,13.4,ECCL,M30 0DF
01-02-2020 21:00,0.58835,15.30683,14.40471,14.775,ECCL,M30 0DF
01-02-2020 22:00,0.52298,18.29839,17.4965,16.075,ECCL,M30 0DF
01-02-2020 23:00,0.62103,24.08207,23.12984,16.825,ECCL,M30 0DF
02-02-2020 00:00,3.00711,37.84326,33.23242,14.925,ECCL,M30 0DF
02-02-2020 01:00,1.39658,33.42025,31.27886,13.875,ECCL,M30 0DF
02-02-2020 02:00,0.69829,13.64771,12.57702,11.75,ECCL,M30 0DF
02-02-2020 03:00,0.62191,12.23301,11.27942,9.55,ECCL,M30 0DF
02-02-2020 04:00,0.62191,13.98058,13.02699,8.45,ECCL,M30 0DF
02-02-2020 05:00,0.55645,11.03467,10.18146,7.15,ECCL,M30 0DF
02-02-2020 06:00,0.39279,7.88904,7.28678,3.875,ECCL,M30 0DF
02-02-2020 07:00,0.55645,11.38419,10.53098,2.425,ECCL,M30 0DF
02-02-2020 08:00,0.68738,12.03329,10.97932,1.75,ECCL,M30 0DF
02-02-2020 09:00,0.55645,14.57975,13.72654,1.875,ECCL,M30 0DF
02-02-2020 10:00,1.08017,22.9681,21.31187,2.8,ECCL,M30 0DF
02-02-2020 11:00,1.86574,25.51456,22.6538,8.825,ECCL,M30 0DF
02-02-2020 12:00,2.58585,27.41193,23.44701,16.9,ECCL,M30 0DF
02-02-2020 13:00,5.76089,36.54924,27.716,11.525,ECCL,M30 0DF
02-02-2020 14:00,2.68405,18.0749,13.95941,10.375,ECCL,M30 0DF
02-02-2020 15:00,1.63662,21.6699,19.16046,16.05,ECCL,M30 0DF
02-02-2020 16:00,1.24383,20.62136,18.71418,24.65,ECCL,M30 0DF
02-02-2020 17:00,0.91651,24.9154,23.51011,21.55,ECCL,M30 0DF
02-02-2020 18:00,0.62191,17.67545,16.72186,21.625,ECCL,M30 0DF
02-02-2020 19:00,0.55645,19.32316,18.46995,25,ECCL,M30 0DF
02-02-2020 20:00,0.62191,23.01803,22.06444,23,ECCL,M30 0DF
02-02-2020 21:00,0.52372,19.2233,18.42028,21.525,ECCL,M30 0DF
02-02-2020 22:00,0.52372,22.06935,21.26633,22.225,ECCL,M30 0DF
02-02-2020 23:00,0.62191,23.51734,22.56375,18.95,ECCL,M30 0DF
03-02-2020 00:00,0.52372,13.93065,13.12763,16.525,ECCL,M30 0DF
03-02-2020 01:00,0.30593,14.93391,14.46482,18.525,ECCL,M30 0DF
03-02-2020 02:00,0.17482,3.00012,2.73206,10.7,ECCL,M30 0DF
03-02-2020 03:00,0.16389,2.40009,2.14879,8.45,ECCL,M30 0DF
03-02-2020 04:00,0.22945,3.40013,3.04831,12.825,ECCL,M30 0DF
03-02-2020 05:00,0.16389,3.65014,3.39884,16.975,ECCL,M30 0DF
03-02-2020 06:00,0.19667,5.60022,5.29866,16.3,ECCL,M30 0DF
03-02-2020 07:00,0.42612,9.75038,9.097,16.275,ECCL,M30 0DF
03-02-2020 08:00,0.75391,15.80061,14.64464,17.225,ECCL,M30 0DF
03-02-2020 09:00,1.57337,22.60088,20.1884,20.5,ECCL,M30 0DF
03-02-2020 10:00,1.50782,18.70073,16.38877,22.875,ECCL,M30 0DF
03-02-2020 11:00,1.70449,14.60057,11.98705,22.9,ECCL,M30 0DF
03-02-2020 12:00,1.40948,11.55045,9.38927,27.625,ECCL,M30 0DF
03-02-2020 13:00,1.47504,12.10047,9.83878,21.35,ECCL,M30 0DF
03-02-2020 14:00,1.60615,14.95058,12.48785,20.25,ECCL,M30 0DF
03-02-2020 15:00,1.3767,16.10062,13.98971,21.925,ECCL,M30 0DF
03-02-2020 16:00,1.50782,18.45072,16.13876,21.425,ECCL,M30 0DF
03-02-2020 17:00,1.21281,20.5008,18.64118,20.75,ECCL,M30 0DF
03-02-2020 18:00,1.27837,28.85112,26.89098,19.275,ECCL,M30 0DF
03-02-2020 19:00,0.62279,16.60064,15.64571,9.775,ECCL,M30 0DF
03-02-2020 20:00,0.68835,18.90073,17.84528,10.575,ECCL,M30 0DF
03-02-2020 21:00,0.36056,10.80042,10.24756,14.225,ECCL,M30 0DF
03-02-2020 22:00,0.32779,7.40029,6.89769,11.15,ECCL,M30 0DF
03-02-2020 23:00,0.19667,6.05023,5.74868,14.975,ECCL,M30 0DF
04-02-2020 00:00,0.36056,6.60026,6.0474,15.45,ECCL,M30 0DF
04-02-2020 01:00,0.17507,5.27438,5.00595,16.65,ECCL,M30 0DF
04-02-2020 02:00,0.21883,3.33822,3.00268,13.225,ECCL,M30 0DF
04-02-2020 03:00,0.19695,2.85417,2.55219,14.025,ECCL,M30 0DF
04-02-2020 04:00,0.19695,3.15461,2.85263,14.3,ECCL,M30 0DF
04-02-2020 05:00,0.16413,3.25476,3.00311,17.95,ECCL,M30 0DF
