timestamp,PM₁₀ level  (µg/m³),NO level  (µg/m³),O₃ level  (µg/m³),NOx level  (µg/m³),NO₂ level  (µg/m³),StationName,PostCodes
01-02-2020 00:00,13.5,30.20585,31.94499,97.15312,50.83813,M60,M28 2AB
01-02-2020 01:00,24.2,14.01,47.41835,57.00742,35.52572,M60,M28 2AB
01-02-2020 02:00,24.2,10.33468,53.05863,49.24007,33.39379,M60,M28 2AB
01-02-2020 03:00,32.9,5.18462,57.70064,32.84429,24.89465,M60,M28 2AB
01-02-2020 04:00,31.9,4.87354,63.64041,27.51961,20.04695,M60,M28 2AB
01-02-2020 05:00,29,4.80442,59.64729,31.5263,24.15963,M60,M28 2AB
01-02-2020 06:00,25.1,4.5279,62.34265,26.51794,19.57525,M60,M28 2AB
01-02-2020 07:00,31.9,26.33787,36.03794,91.89019,51.50602,M60,M28 2AB
01-02-2020 08:00,28,16.90186,53.6576,60.04758,34.13175,M60,M28 2AB
01-02-2020 09:00,29,23.57274,49.96396,72.33124,36.18687,M60,M28 2AB
01-02-2020 10:00,19.3,9.78165,63.29101,36.1129,21.11458,M60,M28 2AB
01-02-2020 11:00,14.5,6.60175,69.2807,26.4125,16.28996,M60,M28 2AB
01-02-2020 12:00,24.2,11.06052,65.3874,38.22168,21.26245,M60,M28 2AB
01-02-2020 13:00,72.5,20.77304,59.6972,66.16305,34.31149,M60,M28 2AB
01-02-2020 14:00,50.2,20.9113,53.80734,70.11701,38.05347,M60,M28 2AB
01-02-2020 15:00,20.3,21.91366,55.65416,65.00322,31.40274,M60,M28 2AB
01-02-2020 16:00,8.7,16.27971,56.40287,55.61914,30.65727,M60,M28 2AB
01-02-2020 17:00,46.4,14.24042,58.00012,45.70786,23.87285,M60,M28 2AB
01-02-2020 18:00,13.5,1.52082,69.87967,11.22927,8.89737,M60,M28 2AB
01-02-2020 19:00,12.6,0.41477,70.67829,7.74978,7.1138,M60,M28 2AB
01-02-2020 20:00,17.4,4.87354,60.89514,24.14556,16.6729,M60,M28 2AB
01-02-2020 21:00,3.9,0.58759,65.88654,10.54391,9.64295,M60,M28 2AB
01-02-2020 22:00,29,31.17685,37.08614,93.62994,45.8261,M60,M28 2AB
01-02-2020 23:00,20.3,32.00639,27.15324,101.32699,52.25122,M60,M28 2AB
02-02-2020 00:00,26.1,53.02138,10.33221,158.94947,77.65115,M60,M28 2AB
02-02-2020 01:00,20.3,43.88206,8.8847,137.44329,70.15841,M60,M28 2AB
02-02-2020 02:00,16.4,26.12851,17.46992,96.3792,56.31605,M60,M28 2AB
02-02-2020 03:00,17.4,14.08517,28.0517,56.42353,34.82657,M60,M28 2AB
