timestamp,NO₂ level  (µg/m³),PM₁₀ level  (µg/m³),NO level  (µg/m³),SO₂ level  (µg/m³),NOx level  (µg/m³),O₃ level  (µg/m³),StationName,PostCodes
01-02-2020 00:00,32.50629,6.9,5.52248,1.343755,40.97397,undefined,MAN3,M1
01-02-2020 01:00,27.88848,12.625,3.7037,1.222853333,33.5674,undefined,MAN3,M1
01-02-2020 02:00,20.46333,18.725,1.32275,1.3437225,22.49152,undefined,MAN3,M1
01-02-2020 03:00,18.51286,24.675,1.71958,0.7678375,21.1495,undefined,MAN3,M1
01-02-2020 04:00,17.03081,25.3,1.19048,0.9598,18.85618,undefined,MAN3,M1
01-02-2020 05:00,14.88883,23.75,0.99206,1.5996675,16.40998,undefined,MAN3,M1
01-02-2020 06:00,17.23389,22.7,1.09127,1.279735,18.90715,undefined,MAN3,M1
01-02-2020 07:00,18.10155,18.375,1.25661,1.215745,20.02832,undefined,MAN3,M1
01-02-2020 08:00,24.16842,20.45,1.55423,1.3437175,26.55154,undefined,MAN3,M1
01-02-2020 09:00,34.47371,17.625,2.94312,1.0877725,38.98643,undefined,MAN3,M1
01-02-2020 10:00,33.78526,17.6,6.15079,1.407705,43.21633,undefined,MAN3,M1
01-02-2020 11:00,27.09831,23.7,4.7619,1.407705,34.39979,undefined,MAN3,M1
01-02-2020 12:00,17.35103,21.875,3.04233,1.72764,22.01587,undefined,MAN3,M1
01-02-2020 13:00,19.40012,24.35,4.39814,1.983585,26.14384,undefined,MAN3,M1
01-02-2020 14:00,22.96363,22.625,3.90211,1.855615,28.94679,undefined,MAN3,M1
01-02-2020 15:00,27.86714,22.275,5.32407,1.7916275,36.0306,undefined,MAN3,M1
01-02-2020 16:00,30.82039,15.05,4.99338,1.79163,38.4768,undefined,MAN3,M1
01-02-2020 17:00,28.62152,12.925,4.03439,1.4716925,34.80749,undefined,MAN3,M1
01-02-2020 18:00,28.05887,17.45,3.76984,0.831825,33.8392,undefined,MAN3,M1
01-02-2020 19:00,24.02998,15.275,3.40608,0.76784,29.25256,undefined,MAN3,M1
01-02-2020 20:00,25.9663,19.375,3.37301,1.53568,31.13818,undefined,MAN3,M1
01-02-2020 21:00,31.31893,21.95,3.57143,0.703855,36.79504,undefined,MAN3,M1
01-02-2020 22:00,32.48333,20.625,2.57936,0.5758775,36.4383,undefined,MAN3,M1
