timestamp,NO₂ level  (µg/m³),NO level  (µg/m³),NOx level  (µg/m³),PM₁₀ level  (µg/m³),StationName,PostCodes
01-02-2020 00:00,1.8785,0.32247,2.37295,7.7,STK5,SK7 4BA
01-02-2020 01:00,1.66493,0.32291,2.16006,8.7,STK5,SK7 4BA
01-02-2020 02:00,3.17799,0.28703,3.6181,16.4,STK5,SK7 4BA
01-02-2020 03:00,4.63096,0.46643,5.34615,31.9,STK5,SK7 4BA
01-02-2020 04:00,4.47099,0.39467,5.07614,24.2,STK5,SK7 4BA
01-02-2020 05:00,3.44293,0.46643,4.15812,31.9,STK5,SK7 4BA
01-02-2020 06:00,4.14191,0.57407,5.02214,26.1,STK5,SK7 4BA
01-02-2020 07:00,3.22389,0.57407,4.10411,17.4,STK5,SK7 4BA
01-02-2020 08:00,4.29987,0.71759,5.40015,19.3,STK5,SK7 4BA
01-02-2020 09:00,5.59692,0.68171,6.64218,17.4,STK5,SK7 4BA
01-02-2020 10:00,7.20886,0.96874,8.69424,16.4,STK5,SK7 4BA
01-02-2020 11:00,7.30167,1.50693,9.61227,16.4,STK5,SK7 4BA
01-02-2020 12:00,7.46165,1.57869,9.88227,19.3,STK5,SK7 4BA
01-02-2020 13:00,5.52874,1.18402,7.3442,15.5,STK5,SK7 4BA
01-02-2020 14:00,5.15275,1.11226,6.85819,16.4,STK5,SK7 4BA
01-02-2020 15:00,5.31881,0.96874,6.80419,14.5,STK5,SK7 4BA
01-02-2020 16:00,4.99581,0.93286,6.42618,8.7,STK5,SK7 4BA
01-02-2020 17:00,7.26185,1.00462,8.80224,8.7,STK5,SK7 4BA
01-02-2020 18:00,11.58197,1.00462,13.12236,7.7,STK5,SK7 4BA
01-02-2020 19:00,12.34204,0.8611,13.66238,8.7,STK5,SK7 4BA
01-02-2020 20:00,11.41693,1.11226,13.12236,11.6,STK5,SK7 4BA
01-02-2020 21:00,12.7241,0.71759,13.82438,14.5,STK5,SK7 4BA
01-02-2020 22:00,17.09923,0.68171,18.1445,11.6,STK5,SK7 4BA
01-02-2020 23:00,23.51225,1.14814,25.2727,13.5,STK5,SK7 4BA
02-02-2020 00:00,22.74003,1.7222,25.3807,15.5,STK5,SK7 4BA
02-02-2020 01:00,9.54944,0.7545,10.70633,13.5,STK5,SK7 4BA
02-02-2020 02:00,7.91405,1.22157,9.7871,11.6,STK5,SK7 4BA
