timestamp,NO level  (µg/m³),NOx level  (µg/m³),PM₁₀ level  (µg/m³),NO₂ level  (µg/m³),StationName,PostCodes
01-02-2020 00:00,null,null,null,null,TAM1,SK14 8LZ
01-02-2020 01:00,2.97464,12.24472,8.1,7.68367,TAM1,SK14 8LZ
01-02-2020 02:00,5.28824,15.81609,12.2,7.70757,TAM1,SK14 8LZ
01-02-2020 03:00,2.3136,8.67334,10.2,5.12586,TAM1,SK14 8LZ
01-02-2020 04:00,2.64412,9.18354,25.5,5.12928,TAM1,SK14 8LZ
01-02-2020 05:00,6.27978,17.85688,27.5,8.22801,TAM1,SK14 8LZ
01-02-2020 06:00,6.94081,19.89766,24.8,9.25523,TAM1,SK14 8LZ
01-02-2020 07:00,10.57648,32.14238,25.8,15.92534,TAM1,SK14 8LZ
01-02-2020 08:00,13.88163,41.32591,22.5,20.04105,TAM1,SK14 8LZ
01-02-2020 09:00,20.82244,58.1624,25.4,26.2351,TAM1,SK14 8LZ
01-02-2020 10:00,22.47502,58.67259,22.7,24.21138,TAM1,SK14 8LZ
01-02-2020 11:00,30.40737,78.57026,21.8,31.94627,TAM1,SK14 8LZ
01-02-2020 12:00,39.00076,103.05969,25,43.25935,TAM1,SK14 8LZ
01-02-2020 13:00,31.72943,85.20281,20.6,36.55169,TAM1,SK14 8LZ
01-02-2020 14:00,31.0684,80.61104,21.4,32.97349,TAM1,SK14 8LZ
01-02-2020 15:00,23.13605,68.36633,27.2,32.89155,TAM1,SK14 8LZ
01-02-2020 16:00,26.11068,73.97849,19.5,33.94267,TAM1,SK14 8LZ
01-02-2020 17:00,23.46656,69.89692,20.2,33.91536,TAM1,SK14 8LZ
01-02-2020 18:00,33.38201,94.89654,18.6,43.71151,TAM1,SK14 8LZ
01-02-2020 19:00,33.38201,94.38635,19.3,43.20131,TAM1,SK14 8LZ
01-02-2020 20:00,25.44965,76.52947,19.3,37.50722,TAM1,SK14 8LZ
01-02-2020 21:00,19.50038,64.28476,18.4,34.38459,TAM1,SK14 8LZ
01-02-2020 22:00,22.1445,69.38672,18.5,35.43229,TAM1,SK14 8LZ
01-02-2020 23:00,11.89854,49.99925,19.6,31.75508,TAM1,SK14 8LZ
02-02-2020 00:00,28.7548,84.18242,17.1,40.09234,TAM1,SK14 8LZ
02-02-2020 01:00,10.24106,42.32018,14.3,26.61745,TAM1,SK14 8LZ
02-02-2020 02:00,17.17854,48.43876,11.5,22.0987,TAM1,SK14 8LZ
02-02-2020 03:00,9.9107,34.16208,6.7,18.96588,TAM1,SK14 8LZ
02-02-2020 04:00,17.5089,51.49805,8.1,24.65145,TAM1,SK14 8LZ
02-02-2020 05:00,23.45532,68.32415,8.6,32.35983,TAM1,SK14 8LZ
02-02-2020 06:00,18.83033,54.04746,3.9,25.1747,TAM1,SK14 8LZ
02-02-2020 07:00,22.79461,63.22533,1.8,28.27409,TAM1,SK14 8LZ
02-02-2020 08:00,45.91957,109.11469,6.4,38.70566,TAM1,SK14 8LZ
02-02-2020 09:00,56.49098,143.78665,11.2,57.16835,TAM1,SK14 8LZ
02-02-2020 10:00,30.39281,73.93285,7.3,27.33119,TAM1,SK14 8LZ
02-02-2020 11:00,43.60708,114.21351,10.7,47.35026,TAM1,SK14 8LZ
02-02-2020 12:00,41.29458,108.60481,10.9,45.28734,TAM1,SK14 8LZ
02-02-2020 13:00,47.57135,124.41114,18.4,51.46942,TAM1,SK14 8LZ
02-02-2020 14:00,41.95529,108.09493,10.7,43.76438,TAM1,SK14 8LZ
02-02-2020 15:00,30.06245,87.69966,16.3,41.60454,TAM1,SK14 8LZ
02-02-2020 16:00,22.79461,63.22533,24,28.27409,TAM1,SK14 8LZ
02-02-2020 17:00,23.78568,67.30439,30.1,30.83353,TAM1,SK14 8LZ
02-02-2020 18:00,13.54462,39.77077,22,19.00264,TAM1,SK14 8LZ
02-02-2020 19:00,12.55355,36.2016,19.2,16.95309,TAM1,SK14 8LZ
02-02-2020 20:00,8.91963,26.00397,22.1,12.32739,TAM1,SK14 8LZ
02-02-2020 21:00,8.91963,26.51385,20.1,12.83728,TAM1,SK14 8LZ
02-02-2020 22:00,10.90177,29.06326,24.3,12.34745,TAM1,SK14 8LZ
02-02-2020 23:00,6.60713,20.90515,19.1,10.77436,TAM1,SK14 8LZ
03-02-2020 00:00,4.95535,16.31622,14.5,8.71812,TAM1,SK14 8LZ
03-02-2020 01:00,3.30198,13.24874,15.4,8.18577,TAM1,SK14 8LZ
03-02-2020 02:00,4.62278,18.85398,16.1,11.76582,TAM1,SK14 8LZ
03-02-2020 03:00,2.97179,12.22961,13,7.67294,TAM1,SK14 8LZ
03-02-2020 04:00,4.95298,17.32528,9.9,9.73082,TAM1,SK14 8LZ
03-02-2020 05:00,11.88714,33.12185,15.2,14.89516,TAM1,SK14 8LZ
03-02-2020 06:00,37.97281,97.32729,18.5,39.10314,TAM1,SK14 8LZ
03-02-2020 07:00,85.19116,198.73112,19.3,68.10649,TAM1,SK14 8LZ
03-02-2020 08:00,109.29564,242.55388,22.2,74.96957,TAM1,SK14 8LZ
03-02-2020 09:00,113.58822,252.23566,26.4,78.06948,TAM1,SK14 8LZ
03-02-2020 10:00,89.15354,212.48943,44.8,75.78924,TAM1,SK14 8LZ
03-02-2020 11:00,57.78471,140.13092,44.9,51.52894,TAM1,SK14 8LZ
03-02-2020 12:00,64.71887,144.20746,36.4,44.97324,TAM1,SK14 8LZ
03-02-2020 13:00,48.20895,114.65257,31,40.73321,TAM1,SK14 8LZ
03-02-2020 14:00,72.31343,159.49447,29.2,48.61542,TAM1,SK14 8LZ
03-02-2020 15:00,61.41689,146.75529,108.9,52.58405,TAM1,SK14 8LZ
03-02-2020 16:00,62.40748,146.75529,48,51.06516,TAM1,SK14 8LZ
03-02-2020 17:00,61.41689,148.79356,46.6,54.62231,TAM1,SK14 8LZ
03-02-2020 18:00,51.51094,134.52568,48,55.54335,TAM1,SK14 8LZ
03-02-2020 19:00,46.22776,124.33435,36.2,53.45276,TAM1,SK14 8LZ
03-02-2020 20:00,26.74606,81.02115,19.5,40.01109,TAM1,SK14 8LZ
03-02-2020 21:00,20.4723,66.75328,14.5,35.36286,TAM1,SK14 8LZ
03-02-2020 22:00,12.21734,39.23666,14,20.50367,TAM1,SK14 8LZ
03-02-2020 23:00,10.56635,31.08359,14.6,14.88208,TAM1,SK14 8LZ
04-02-2020 00:00,8.25496,24.45922,22.4,11.80179,TAM1,SK14 8LZ
04-02-2020 01:00,6.27076,19.35159,21.3,9.73656,TAM1,SK14 8LZ
04-02-2020 02:00,4.29052,11.20355,15.1,4.62484,TAM1,SK14 8LZ
04-02-2020 03:00,2.97036,10.18505,10.3,5.63056,TAM1,SK14 8LZ
04-02-2020 04:00,5.94072,14.76832,14.7,5.65934,TAM1,SK14 8LZ
04-02-2020 05:00,7.59092,19.86084,15.5,8.22159,TAM1,SK14 8LZ
04-02-2020 06:00,21.4526,49.90672,18.4,17.01319,TAM1,SK14 8LZ
04-02-2020 07:00,57.09692,126.29456,23.8,38.74717,TAM1,SK14 8LZ
04-02-2020 08:00,70.9586,157.86819,28.1,49.06653,TAM1,SK14 8LZ
04-02-2020 09:00,60.06728,141.06287,35.5,48.961,TAM1,SK14 8LZ
04-02-2020 10:00,76.89932,175.69202,28.7,57.78138,TAM1,SK14 8LZ
04-02-2020 11:00,123.765,277.03322,27.6,87.26287,TAM1,SK14 8LZ
04-02-2020 12:00,63.69772,149.21091,33.5,51.54243,TAM1,SK14 8LZ
04-02-2020 13:00,43.56528,99.30419,26.4,32.50502,TAM1,SK14 8LZ
04-02-2020 14:00,43.23524,97.77643,24.1,31.48332,TAM1,SK14 8LZ
04-02-2020 15:00,57.09692,129.35007,27.1,41.80268,TAM1,SK14 8LZ
04-02-2020 16:00,104.62268,221.01547,29.6,60.59627,TAM1,SK14 8LZ
04-02-2020 17:00,183.50224,370.22638,36.3,88.8602,TAM1,SK14 8LZ
04-02-2020 18:00,114.85392,265.32042,37.6,89.21353,TAM1,SK14 8LZ
04-02-2020 19:00,118.8144,270.92219,36.7,88.74266,TAM1,SK14 8LZ
04-02-2020 20:00,83.50012,214.39519,39.1,86.36346,TAM1,SK14 8LZ
04-02-2020 21:00,73.26888,188.42333,35.5,76.07928,TAM1,SK14 8LZ
04-02-2020 22:00,57.42696,148.70165,31.7,60.64821,TAM1,SK14 8LZ
04-02-2020 23:00,53.46648,138.00736,31.4,56.02657,TAM1,SK14 8LZ
05-02-2020 00:00,33.33404,100.83194,32.6,49.72046,TAM1,SK14 8LZ
05-02-2020 01:00,14.18491,52.42056,23.6,30.67067,TAM1,SK14 8LZ
05-02-2020 02:00,10.8861,38.17031,21,21.47853,TAM1,SK14 8LZ
05-02-2020 03:00,21.44231,62.09038,24.4,29.21263,TAM1,SK14 8LZ
05-02-2020 04:00,19.7929,60.05463,26.3,29.70593,TAM1,SK14 8LZ
05-02-2020 05:00,26.39053,74.30488,27.9,33.83995,TAM1,SK14 8LZ
05-02-2020 06:00,32.3284,77.3585,25.3,27.78897,TAM1,SK14 8LZ
05-02-2020 07:00,51.79143,120.10925,20,40.69684,TAM1,SK14 8LZ
05-02-2020 08:00,79.1716,169.98513,13.4,48.59036,TAM1,SK14 8LZ
05-02-2020 09:00,82.14054,180.16387,19.6,54.21681,TAM1,SK14 8LZ
05-02-2020 10:00,71.25444,171.51194,18.1,62.25665,TAM1,SK14 8LZ
05-02-2020 11:00,125.02516,270.75475,27.1,79.05218,TAM1,SK14 8LZ
05-02-2020 12:00,101.93344,224.44144,28.1,68.14568,TAM1,SK14 8LZ
05-02-2020 13:00,120.7367,267.70112,61.3,82.57411,TAM1,SK14 8LZ
05-02-2020 14:00,117.76776,262.10281,83.7,81.5281,TAM1,SK14 8LZ
05-02-2020 15:00,127.33433,263.62963,null,68.38638,TAM1,SK14 8LZ
05-02-2020 16:00,88.73817,212.73587,null,76.67257,TAM1,SK14 8LZ
05-02-2020 17:00,83.13018,212.22694,null,84.76243,TAM1,SK14 8LZ
05-02-2020 18:00,162.30179,359.81881,null,110.95954,TAM1,SK14 8LZ
05-02-2020 19:00,107.87131,258.54025,null,93.13988,TAM1,SK14 8LZ
05-02-2020 20:00,133.2722,292.63906,null,88.29121,TAM1,SK14 8LZ
