timestamp,PM₁₀ level  (µg/m³),NO₂ level  (µg/m³),NO level  (µg/m³),NOx level  (µg/m³),StationName,PostCodes
01-02-2020 00:00,5.8,7.09614,2.39085,10.76205,TRAF,M32 9HR
01-02-2020 01:00,9.7,5.74618,1.90429,8.66604,TRAF,M32 9HR
01-02-2020 02:00,15.5,4.15655,1.59429,6.60109,TRAF,M32 9HR
01-02-2020 03:00,24.2,3.75228,1.1625,5.53476,TRAF,M32 9HR
01-02-2020 04:00,23.2,4.31234,0.83036,5.58554,TRAF,M32 9HR
01-02-2020 05:00,23.2,4.61746,0.73072,5.73787,TRAF,M32 9HR
01-02-2020 06:00,19.3,5.12538,0.6975,6.19487,TRAF,M32 9HR
01-02-2020 07:00,13.5,6.69919,0.76393,7.87053,TRAF,M32 9HR
01-02-2020 08:00,17.4,7.76522,0.83036,9.03841,TRAF,M32 9HR
01-02-2020 09:00,15.5,17.51332,1.09607,19.19394,TRAF,M32 9HR
01-02-2020 10:00,12.6,11.4182,1.49465,13.70996,TRAF,M32 9HR
01-02-2020 11:00,11.6,11.52156,1.09607,13.20218,TRAF,M32 9HR
01-02-2020 12:00,11.6,11.82622,1.09607,13.50684,TRAF,M32 9HR
01-02-2020 13:00,12.6,8.32137,1.36179,10.40941,TRAF,M32 9HR
01-02-2020 14:00,10.6,5.48143,0.56464,6.3472,TRAF,M32 9HR
01-02-2020 15:00,15.5,6.90275,0.66429,7.92131,TRAF,M32 9HR
01-02-2020 16:00,5.8,7.20696,0.76393,8.37831,TRAF,M32 9HR
01-02-2020 17:00,8.7,13.30088,0.63107,14.26851,TRAF,M32 9HR
01-02-2020 18:00,7.7,13.60539,0.66429,14.62395,TRAF,M32 9HR
01-02-2020 19:00,8.7,12.23425,0.6975,13.30373,TRAF,M32 9HR
01-02-2020 20:00,9.7,12.74217,0.66429,13.76073,TRAF,M32 9HR
01-02-2020 21:00,14.5,16.19385,0.93,17.61983,TRAF,M32 9HR
01-02-2020 22:00,14.5,18.52376,2.22536,21.93593,TRAF,M32 9HR
01-02-2020 23:00,11.6,18.72551,2.52429,22.59604,TRAF,M32 9HR
02-02-2020 00:00,11.6,21.05557,3.78643,26.86136,TRAF,M32 9HR
02-02-2020 01:00,17.4,23.00584,4.29677,29.59413,TRAF,M32 9HR
02-02-2020 02:00,7.7,14.61221,3.45514,19.91001,TRAF,M32 9HR
02-02-2020 03:00,6.8,10.4508,2.69102,14.57697,TRAF,M32 9HR
02-02-2020 04:00,8.7,7.51002,1.56146,9.90421,TRAF,M32 9HR
02-02-2020 05:00,5.8,8.57258,2.45846,12.34218,TRAF,M32 9HR
02-02-2020 06:00,2.9,7.86091,2.59135,11.83427,TRAF,M32 9HR
02-02-2020 07:00,1.9,8.47504,1.56146,10.86924,TRAF,M32 9HR
02-02-2020 08:00,1.9,11.97856,1.79401,14.72934,TRAF,M32 9HR
02-02-2020 09:00,1.9,13.29733,2.19268,16.6594,TRAF,M32 9HR
02-02-2020 10:00,3.9,18.83144,2.6578,22.90667,TRAF,M32 9HR
02-02-2020 11:00,5.8,22.1291,3.48836,27.47785,TRAF,M32 9HR
02-02-2020 12:00,5.8,15.52629,3.48836,20.87504,TRAF,M32 9HR
02-02-2020 13:00,3.9,15.3176,4.71759,22.55114,TRAF,M32 9HR
02-02-2020 14:00,5.8,14.25742,3.28903,19.30052,TRAF,M32 9HR
02-02-2020 15:00,12.6,10.55702,1.66112,13.10404,TRAF,M32 9HR
02-02-2020 16:00,22.2,9.03269,1.79401,11.78348,TRAF,M32 9HR
02-02-2020 17:00,18.4,12.08104,1.59468,14.52618,TRAF,M32 9HR
02-02-2020 18:00,14.5,9.74287,1.99335,12.79929,TRAF,M32 9HR
02-02-2020 19:00,19.3,9.99787,1.76079,12.69771,TRAF,M32 9HR
02-02-2020 20:00,21.3,9.13487,1.66112,11.68189,TRAF,M32 9HR
02-02-2020 21:00,16.4,7.25711,1.3289,9.29473,TRAF,M32 9HR
02-02-2020 22:00,16.4,7.51091,1.36212,9.59947,TRAF,M32 9HR
02-02-2020 23:00,14.5,6.74845,1.49501,9.04077,TRAF,M32 9HR
03-02-2020 00:00,15.5,5.123,1.52823,7.46626,TRAF,M32 9HR
03-02-2020 01:00,16.4,5.81998,1.24061,7.72222,TRAF,M32 9HR
03-02-2020 02:00,10.6,8.8855,1.16307,10.66886,TRAF,M32 9HR
03-02-2020 03:00,8.7,1.87782,0.432,2.5402,TRAF,M32 9HR
03-02-2020 04:00,8.7,2.89345,0.53169,3.7087,TRAF,M32 9HR
03-02-2020 05:00,15.5,5.02797,0.36554,5.58845,TRAF,M32 9HR
03-02-2020 06:00,10.6,5.33324,0.26585,5.74086,TRAF,M32 9HR
03-02-2020 07:00,9.7,9.39652,0.49846,10.16082,TRAF,M32 9HR
03-02-2020 08:00,11.6,14.78176,0.49846,15.54605,TRAF,M32 9HR
03-02-2020 09:00,16.4,19.40284,0.96369,20.88048,TRAF,M32 9HR
03-02-2020 10:00,19.3,20.11216,1.39569,22.25219,TRAF,M32 9HR
03-02-2020 11:00,19.3,12.84763,1.296,14.83479,TRAF,M32 9HR
03-02-2020 12:00,19.3,8.98667,1.26276,10.92288,TRAF,M32 9HR
03-02-2020 13:00,15.5,8.27556,1.22953,10.16082,TRAF,M32 9HR
03-02-2020 14:00,16.4,9.4956,1.06338,11.12609,TRAF,M32 9HR
03-02-2020 15:00,11.6,12.18747,1.22953,14.07273,TRAF,M32 9HR
03-02-2020 16:00,12.6,12.44224,1.06338,14.07273,TRAF,M32 9HR
03-02-2020 17:00,16.4,16.81139,1.06338,18.44188,TRAF,M32 9HR
03-02-2020 18:00,11.6,21.68932,0.89723,23.06505,TRAF,M32 9HR
03-02-2020 19:00,6.8,15.38977,0.864,16.71454,TRAF,M32 9HR
03-02-2020 20:00,11.6,18.33715,0.69784,19.40716,TRAF,M32 9HR
03-02-2020 21:00,9.7,17.88006,0.66461,18.89912,TRAF,M32 9HR
03-02-2020 22:00,11.6,6.45063,0.33231,6.96016,TRAF,M32 9HR
03-02-2020 23:00,9.7,6.50144,0.33231,7.01096,TRAF,M32 9HR
04-02-2020 00:00,11.6,5.28169,0.432,5.94408,TRAF,M32 9HR
04-02-2020 01:00,26.1,7.45183,0.31023,7.9275,TRAF,M32 9HR
04-02-2020 02:00,10.6,2.58991,0.39887,3.20149,TRAF,M32 9HR
04-02-2020 03:00,null,1.82868,0.16619,2.08351,TRAF,M32 9HR
04-02-2020 04:00,null,1.37162,0.09972,1.52452,TRAF,M32 9HR
04-02-2020 05:00,null,1.5746,0.16619,1.82942,TRAF,M32 9HR
04-02-2020 06:00,null,2.43849,0.16619,2.69332,TRAF,M32 9HR
04-02-2020 07:00,null,4.26747,0.26591,4.67519,TRAF,M32 9HR
04-02-2020 08:00,null,7.62141,0.26591,8.02914,TRAF,M32 9HR
04-02-2020 09:00,null,9.14549,0.36563,9.70611,TRAF,M32 9HR
04-02-2020 10:00,null,10.61845,0.53182,11.4339,TRAF,M32 9HR
04-02-2020 11:00,null,10.56748,0.56506,11.4339,TRAF,M32 9HR
04-02-2020 12:00,null,11.58279,0.79773,12.80596,TRAF,M32 9HR
04-02-2020 13:00,null,11.63109,1.36279,13.72068,TRAF,M32 9HR
04-02-2020 14:00,null,11.0721,1.36279,13.16169,TRAF,M32 9HR
04-02-2020 15:00,null,11.62858,1.92785,14.58457,TRAF,M32 9HR
04-02-2020 16:00,null,16.35414,2.02757,19.46303,TRAF,M32 9HR
04-02-2020 17:00,null,19.76112,1.52898,22.10553,TRAF,M32 9HR
04-02-2020 18:00,null,30.38254,1.39603,32.52308,TRAF,M32 9HR
04-02-2020 19:00,null,29.21389,1.36279,31.30347,TRAF,M32 9HR
04-02-2020 20:00,null,30.33127,1.49575,32.62472,TRAF,M32 9HR
04-02-2020 21:00,null,31.80364,1.7949,34.55578,TRAF,M32 9HR
04-02-2020 22:00,null,28.34703,2.02757,31.45592,TRAF,M32 9HR
04-02-2020 23:00,null,25.03961,2.99149,29.6265,TRAF,M32 9HR
05-02-2020 00:00,null,31.43444,4.81963,38.82443,TRAF,M32 9HR
05-02-2020 01:00,null,27.15873,4.21128,33.61594,TRAF,M32 9HR
05-02-2020 02:00,null,21.12547,4.52159,28.05847,TRAF,M32 9HR
05-02-2020 03:00,null,21.98914,4.62133,29.07508,TRAF,M32 9HR
05-02-2020 04:00,null,20.87102,4.58808,27.90597,TRAF,M32 9HR
05-02-2020 05:00,null,19.65285,4.18911,26.07607,TRAF,M32 9HR
05-02-2020 06:00,null,22.29707,3.95639,28.36345,TRAF,M32 9HR
05-02-2020 07:00,null,37.76443,12.06864,56.26942,TRAF,M32 9HR
05-02-2020 08:00,null,51.96024,54.75772,135.9209,TRAF,M32 9HR
05-02-2020 09:00,null,48.69279,57.98267,137.59831,TRAF,M32 9HR
05-02-2020 10:00,null,null,null,null,TRAF,M32 9HR
05-02-2020 11:00,20.3,null,null,null,TRAF,M32 9HR
05-02-2020 12:00,34.8,null,null,null,TRAF,M32 9HR
05-02-2020 13:00,38.6,null,null,null,TRAF,M32 9HR
05-02-2020 14:00,29,null,null,null,TRAF,M32 9HR
05-02-2020 15:00,29,null,null,null,TRAF,M32 9HR
05-02-2020 16:00,27.1,null,null,null,TRAF,M32 9HR
05-02-2020 17:00,30,null,null,null,TRAF,M32 9HR
05-02-2020 18:00,27.1,null,null,null,TRAF,M32 9HR
05-02-2020 19:00,35.7,null,null,null,TRAF,M32 9HR
