timestamp,NO₂ level  (µg/m³),NOx level  (µg/m³),PM₁₀ level  (µg/m³),NO level  (µg/m³),StationName,PostCodes
01-02-2020 00:00,16.4036,24.90441,3.9,5.54408,TRF2,M32 8WB
01-02-2020 01:00,11.03709,15.84911,5.8,3.13832,TRF2,M32 8WB
01-02-2020 02:00,3.43076,5.15447,18.4,1.12417,TRF2,M32 8WB
01-02-2020 03:00,3.38832,4.6811,26.1,0.84313,TRF2,M32 8WB
01-02-2020 04:00,4.26977,6.1012,22.2,1.19443,TRF2,M32 8WB
01-02-2020 05:00,4.69181,6.46938,25.1,1.1593,TRF2,M32 8WB
01-02-2020 06:00,6.19934,8.73103,24.2,1.65113,TRF2,M32 8WB
01-02-2020 07:00,8.64599,12.25501,19.3,2.35374,TRF2,M32 8WB
01-02-2020 08:00,10.37081,16.67312,15.5,4.11026,TRF2,M32 8WB
01-02-2020 09:00,17.2044,28.13918,18.4,7.13147,TRF2,M32 8WB
01-02-2020 10:00,15.64864,27.87619,16.4,7.9746,TRF2,M32 8WB
01-02-2020 11:00,18.63395,31.40016,14.5,8.32591,TRF2,M32 8WB
01-02-2020 12:00,14.69698,22.66913,16.4,5.1993,TRF2,M32 8WB
01-02-2020 13:00,13.61133,25.24636,18.4,7.58817,TRF2,M32 8WB
01-02-2020 14:00,14.91919,29.08591,16.4,9.2393,TRF2,M32 8WB
01-02-2020 15:00,16.75301,33.45143,19.3,10.89043,TRF2,M32 8WB
01-02-2020 16:00,15.534,25.93012,5.8,6.78017,TRF2,M32 8WB
01-02-2020 17:00,18.09601,29.13851,4.8,7.20173,TRF2,M32 8WB
01-02-2020 18:00,13.54565,19.03997,7.7,3.5833,TRF2,M32 8WB
01-02-2020 19:00,12.40827,14.83224,7.7,1.58087,TRF2,M32 8WB
01-02-2020 20:00,11.89881,13.62252,16.4,1.12417,TRF2,M32 8WB
01-02-2020 21:00,14.89301,16.77831,11.6,1.22957,TRF2,M32 8WB
01-02-2020 22:00,19.72031,26.56128,8.7,4.46156,TRF2,M32 8WB
01-02-2020 23:00,16.31438,18.14582,10.6,1.19443,TRF2,M32 8WB
02-02-2020 00:00,37.23323,57.54067,21.3,13.24416,TRF2,M32 8WB
02-02-2020 01:00,33.63864,42.05159,14.5,5.48678,TRF2,M32 8WB
02-02-2020 02:00,21.30965,37.4884,14.5,10.55151,TRF2,M32 8WB
02-02-2020 03:00,12.87418,22.85107,9.7,6.50676,TRF2,M32 8WB
02-02-2020 04:00,16.623,28.37956,7.7,7.66743,TRF2,M32 8WB
02-02-2020 05:00,14.38705,24.95716,5.8,6.89365,TRF2,M32 8WB
02-02-2020 06:00,14.90689,23.53555,6.8,5.62747,TRF2,M32 8WB
02-02-2020 07:00,15.45128,23.32494,4.8,5.13507,TRF2,M32 8WB
02-02-2020 08:00,18.20963,25.22042,2.9,4.57232,TRF2,M32 8WB
02-02-2020 09:00,23.16533,29.90647,2.9,4.39646,TRF2,M32 8WB
02-02-2020 10:00,37.13047,58.91786,3.9,14.20936,TRF2,M32 8WB
02-02-2020 11:00,45.3518,75.71392,6.8,19.80166,TRF2,M32 8WB
02-02-2020 12:00,33.68569,60.86599,7.7,17.72653,TRF2,M32 8WB
02-02-2020 13:00,29.42695,54.1265,5.8,16.10863,TRF2,M32 8WB
02-02-2020 14:00,17.30522,31.38074,6.8,9.17981,TRF2,M32 8WB
02-02-2020 15:00,22.53244,40.43692,17.4,11.677,TRF2,M32 8WB
02-02-2020 16:00,17.89206,31.644,27.1,8.96878,TRF2,M32 8WB
02-02-2020 17:00,19.84658,33.32887,24.2,8.79292,TRF2,M32 8WB
02-02-2020 18:00,27.77791,42.06914,20.3,9.3205,TRF2,M32 8WB
02-02-2020 19:00,16.96573,27.58978,23.2,6.92882,TRF2,M32 8WB
02-02-2020 20:00,18.15983,27.27386,20.3,5.94402,TRF2,M32 8WB
02-02-2020 21:00,11.84765,18.48094,18.4,4.32612,TRF2,M32 8WB
02-02-2020 22:00,9.8057,15.95363,20.3,4.00957,TRF2,M32 8WB
02-02-2020 23:00,7.1278,10.74106,13.5,2.3565,TRF2,M32 8WB
03-02-2020 00:00,5.54057,9.4774,11.6,2.56753,TRF2,M32 8WB
03-02-2020 01:00,6.13644,8.15215,18.4,1.31462,TRF2,M32 8WB
03-02-2020 02:00,6.56023,7.74806,15.5,0.77469,TRF2,M32 8WB
03-02-2020 03:00,3.04036,3.74226,9.7,0.45777,TRF2,M32 8WB
03-02-2020 04:00,2.61741,3.37331,8.7,0.49298,TRF2,M32 8WB
03-02-2020 05:00,4.40948,5.16537,10.6,0.49298,TRF2,M32 8WB
03-02-2020 06:00,4.29893,5.27079,9.7,0.63383,TRF2,M32 8WB
03-02-2020 07:00,8.94368,11.85928,14.5,1.9015,TRF2,M32 8WB
03-02-2020 08:00,14.96784,19.44921,15.5,2.92268,TRF2,M32 8WB
03-02-2020 09:00,16.97973,21.08316,20.3,2.67619,TRF2,M32 8WB
03-02-2020 10:00,20.25155,28.62039,22.2,5.45801,TRF2,M32 8WB
03-02-2020 11:00,14.30837,19.92358,18.4,3.66215,TRF2,M32 8WB
03-02-2020 12:00,10.51725,15.97049,16.4,3.55651,TRF2,M32 8WB
03-02-2020 13:00,9.71503,13.44051,17.4,2.42969,TRF2,M32 8WB
03-02-2020 14:00,8.88969,11.85928,19.3,1.93671,TRF2,M32 8WB
03-02-2020 15:00,13.30174,16.91923,16.4,2.35927,TRF2,M32 8WB
03-02-2020 16:00,15.12211,19.76546,14.5,3.02832,TRF2,M32 8WB
03-02-2020 17:00,18.65354,23.29689,15.5,3.02832,TRF2,M32 8WB
03-02-2020 18:00,23.65184,30.88683,13.5,4.71854,TRF2,M32 8WB
03-02-2020 19:00,14.40861,18.0261,7.7,2.35927,TRF2,M32 8WB
03-02-2020 20:00,28.9034,39.16196,14.5,6.69046,TRF2,M32 8WB
03-02-2020 21:00,19.28475,23.98209,10.6,3.06353,TRF2,M32 8WB
03-02-2020 22:00,8.18004,9.96179,10.6,1.16203,TRF2,M32 8WB
03-02-2020 23:00,4.59205,6.53578,11.6,1.26767,TRF2,M32 8WB
04-02-2020 00:00,4.24108,5.42891,21.3,0.77469,TRF2,M32 8WB
04-02-2020 01:00,5.18188,6.19092,17.4,0.65808,TRF2,M32 8WB
04-02-2020 02:00,2.08728,3.06029,13.5,0.63458,TRF2,M32 8WB
04-02-2020 03:00,1.39877,2.47989,9.7,0.70509,TRF2,M32 8WB
04-02-2020 04:00,0.88277,1.47738,8.7,0.3878,TRF2,M32 8WB
04-02-2020 05:00,0.8776,1.68843,12.6,0.52881,TRF2,M32 8WB
04-02-2020 06:00,1.91478,3.4824,18.4,1.02237,TRF2,M32 8WB
04-02-2020 07:00,4.98777,8.23111,14.5,2.11526,TRF2,M32 8WB
04-02-2020 08:00,6.31203,9.33915,14.5,1.97424,TRF2,M32 8WB
04-02-2020 09:00,10.99872,16.62052,20.3,3.66644,TRF2,M32 8WB
04-02-2020 10:00,11.86619,16.51499,16.4,3.03186,TRF2,M32 8WB
04-02-2020 11:00,11.09283,14.98485,17.4,2.53831,TRF2,M32 8WB
04-02-2020 12:00,13.38966,20.52502,24.2,4.65356,TRF2,M32 8WB
04-02-2020 13:00,14.60968,21.47476,24.2,4.47729,TRF2,M32 8WB
04-02-2020 14:00,20.33937,36.93448,17.4,10.82305,TRF2,M32 8WB
04-02-2020 15:00,22.15228,42.36913,13.5,13.18509,TRF2,M32 8WB
04-02-2020 16:00,29.36301,48.12035,19.3,12.23322,TRF2,M32 8WB
04-02-2020 17:00,37.14788,65.74338,20.3,18.6495,TRF2,M32 8WB
04-02-2020 18:00,36.44948,47.9093,12.6,7.4739,TRF2,M32 8WB
04-02-2020 19:00,34.12659,45.64047,21.3,7.50915,TRF2,M32 8WB
04-02-2020 20:00,34.95358,51.60275,23.2,10.85831,TRF2,M32 8WB
04-02-2020 21:00,32.03026,42.94953,20.3,7.12136,TRF2,M32 8WB
04-02-2020 22:00,24.51028,27.75362,18.4,2.11526,TRF2,M32 8WB
04-02-2020 23:00,36.37066,51.12787,21.3,9.62441,TRF2,M32 8WB
05-02-2020 00:00,45.04778,65.4268,21.3,13.29085,TRF2,M32 8WB
05-02-2020 01:00,37.41883,51.12898,26.1,8.94153,TRF2,M32 8WB
05-02-2020 02:00,33.01518,48.27675,16.4,9.95334,TRF2,M32 8WB
05-02-2020 03:00,23.03992,26.99061,21.3,2.57657,TRF2,M32 8WB
05-02-2020 04:00,22.78362,26.4096,17.4,2.3648,TRF2,M32 8WB
05-02-2020 05:00,22.66711,28.94492,16.4,4.09428,TRF2,M32 8WB
05-02-2020 06:00,36.19058,64.3866,11.6,18.38897,TRF2,M32 8WB
05-02-2020 07:00,52.55725,169.02143,17.4,75.95596,TRF2,M32 8WB
05-02-2020 08:00,65.51091,229.81632,21.3,107.1572,TRF2,M32 8WB
05-02-2020 09:00,65.83135,249.78198,27.1,119.96947,TRF2,M32 8WB
05-02-2020 10:00,57.97047,144.77742,16.4,56.61401,TRF2,M32 8WB
05-02-2020 11:00,62.61229,160.676,23.2,63.95548,TRF2,M32 8WB
05-02-2020 12:00,62.08445,164.5318,39.6,66.81442,TRF2,M32 8WB
05-02-2020 13:00,60.23757,136.22071,41.5,49.55491,TRF2,M32 8WB
05-02-2020 14:00,55.06616,102.25797,42.5,30.77769,TRF2,M32 8WB
05-02-2020 15:00,47.33188,80.0739,42.5,21.35379,TRF2,M32 8WB
05-02-2020 16:00,49.96007,94.22945,44.4,28.87174,TRF2,M32 8WB
05-02-2020 17:00,66.40527,120.90314,40.6,35.54259,TRF2,M32 8WB
05-02-2020 18:00,78.14871,164.90153,38.6,56.57872,TRF2,M32 8WB
05-02-2020 19:00,86.19202,284.48419,52.2,129.32279,TRF2,M32 8WB
05-02-2020 20:00,89.2916,396.03834,61.8,200.05501,TRF2,M32 8WB
05-02-2020 21:00,79.4767,366.03703,57,186.88978,TRF2,M32 8WB
05-02-2020 22:00,79.45848,390.96769,53.1,203.16101,TRF2,M32 8WB
05-02-2020 23:00,66.55871,319.1864,46.4,164.75949,TRF2,M32 8WB
06-02-2020 00:00,50.96413,207.36817,39.6,102.00405,TRF2,M32 8WB
06-02-2020 01:00,44.04551,199.58493,36.7,101.44017,TRF2,M32 8WB
06-02-2020 02:00,41.88322,175.28012,32.9,86.9992,TRF2,M32 8WB
06-02-2020 03:00,34.13247,140.32985,30.9,69.26012,TRF2,M32 8WB
06-02-2020 04:00,32.01423,101.09671,24.2,45.05442,TRF2,M32 8WB
06-02-2020 05:00,33.88729,77.93753,26.1,28.72882,TRF2,M32 8WB
06-02-2020 06:00,33.31733,116.32467,26.1,54.13597,TRF2,M32 8WB
06-02-2020 07:00,44.59584,223.34336,26.1,116.5761,TRF2,M32 8WB
06-02-2020 08:00,59.05333,352.99249,34.8,191.70213,TRF2,M32 8WB
06-02-2020 09:00,50.24279,308.31324,26.1,168.30917,TRF2,M32 8WB
06-02-2020 10:00,66.37302,411.94794,38.6,225.3781,TRF2,M32 8WB
06-02-2020 11:00,61.45675,321.53195,33.8,169.61663,TRF2,M32 8WB
06-02-2020 12:00,66.28295,246.87267,40.6,117.77755,TRF2,M32 8WB
06-02-2020 13:00,62.32429,194.42082,45.4,86.15111,TRF2,M32 8WB
06-02-2020 14:00,55.96272,140.54135,41.5,55.16074,TRF2,M32 8WB
